tow_date,tow_description,police_district
2007-01-12T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-12T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-12T00:00:00.000,STOLEN VEHICLE,District C
2007-01-13T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-13T00:00:00.000,ILLEGAL VEHICLE,District B
2007-01-13T00:00:00.000,ILLEGAL VEHICLE,District E
2007-01-13T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-14T00:00:00.000,ACCIDENT,District B
2007-01-14T00:00:00.000,STOLEN VEHICLE,District E
2007-01-14T00:00:00.000,ILLEGAL VEHICLE,District B
2007-01-14T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-14T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-15T00:00:00.000,STOLEN VEHICLE,District E
2007-01-15T00:00:00.000,ABANDONED VEHICLE,District B
2007-01-15T00:00:00.000,STOLEN VEHICLE,District C
2007-01-15T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-15T00:00:00.000,ILLEGAL VEHICLE,District E
2007-01-15T00:00:00.000,ILLEGAL VEHICLE,District E
2007-01-15T00:00:00.000,ILLEGAL VEHICLE,District B
2007-01-16T00:00:00.000,ILLEGAL VEHICLE,District A
2007-01-16T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-16T00:00:00.000,ILLEGAL VEHICLE,District A
2007-01-16T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-16T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-16T00:00:00.000,ILLEGAL VEHICLE,District B
2007-01-17T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-17T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-17T00:00:00.000,ACCIDENT,District B
2007-01-17T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-17T00:00:00.000,ABANDONED VEHICLE,District C
2007-01-17T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-17T00:00:00.000,ILLEGAL VEHICLE,District E
2007-01-17T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-18T00:00:00.000,STOLEN VEHICLE,District B
2007-01-18T00:00:00.000,ILLEGALLY PARKED,District D
2007-01-18T00:00:00.000,STOLEN VEHICLE,District C
2007-01-18T00:00:00.000,ABANDONED VEHICLE,District E
2007-01-18T00:00:00.000,ILLEGALLY PARKED,District B
2007-01-18T00:00:00.000,ILLEGALLY PARKED,District B
2007-01-18T00:00:00.000,STOLEN VEHICLE,District B
2007-01-18T00:00:00.000,ABANDONED VEHICLE,District D
2007-01-18T00:00:00.000,ILLEGAL VEHICLE,District A
2007-01-18T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-18T00:00:00.000,ILLEGAL VEHICLE,District B
2007-01-18T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-18T00:00:00.000,ILLEGAL VEHICLE,District B
2007-01-18T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-18T00:00:00.000,ILLEGAL VEHICLE,District A
2007-01-19T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-19T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-19T00:00:00.000,ABANDONED VEHICLE,District A
2007-01-19T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-19T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-19T00:00:00.000,ACCIDENT,District C
2007-01-19T00:00:00.000,ILLEGALLY PARKED,District D
2007-01-19T00:00:00.000,ILLEGALLY PARKED,District D
2007-01-19T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-19T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-19T00:00:00.000,STOLEN VEHICLE,District C
2007-01-20T00:00:00.000,ILLEGAL VEHICLE,District E
2007-01-20T00:00:00.000,ABANDONED VEHICLE,District C
2007-01-20T00:00:00.000,STOLEN VEHICLE,District C
2007-01-20T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-20T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-20T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-20T00:00:00.000,STOLEN VEHICLE,District D
2007-01-21T00:00:00.000,ILLEGAL VEHICLE,District B
2007-01-21T00:00:00.000,ILLEGAL VEHICLE,District E
2007-01-21T00:00:00.000,ACCIDENT,District E
2007-01-21T00:00:00.000,ABANDONED VEHICLE,District C
2007-01-22T00:00:00.000,STOLEN VEHICLE,District B
2007-01-22T00:00:00.000,STOLEN VEHICLE,District D
2007-01-22T00:00:00.000,STOLEN VEHICLE,District B
2007-01-22T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-22T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-22T00:00:00.000,ACCIDENT,District E
2007-01-22T00:00:00.000,ILLEGAL VEHICLE,District A
2007-01-23T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-23T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-23T00:00:00.000,ABANDONED VEHICLE,District C
2007-01-23T00:00:00.000,ACCIDENT,District D
2007-01-23T00:00:00.000,STOLEN VEHICLE,District B
2007-01-23T00:00:00.000,STOLEN VEHICLE,District A
2007-01-23T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-24T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-24T00:00:00.000,ILLEGALLY PARKED,District E
2007-01-24T00:00:00.000,ILLEGALLY PARKED,District B
2007-01-24T00:00:00.000,ABANDONED VEHICLE,District C
2007-01-24T00:00:00.000,ABANDONED VEHICLE,District C
2007-01-24T00:00:00.000,ILLEGAL VEHICLE,District E
2007-01-24T00:00:00.000,ILLEGALLY PARKED,District D
2007-01-24T00:00:00.000,ILLEGALLY PARKED,District B
2007-01-24T00:00:00.000,ILLEGALLY PARKED,District E
2007-01-24T00:00:00.000,ILLEGALLY PARKED,District B
2007-01-24T00:00:00.000,ILLEGAL VEHICLE,District B
2007-01-24T00:00:00.000,ACCIDENT,District B
2007-01-25T00:00:00.000,ACCIDENT,District C
2007-01-25T00:00:00.000,STOLEN VEHICLE,District C
2007-01-25T00:00:00.000,STOLEN VEHICLE,District E
2007-01-25T00:00:00.000,ILLEGALLY PARKED,District B
2007-01-25T00:00:00.000,STOLEN VEHICLE,District E
2007-01-25T00:00:00.000,ILLEGALLY PARKED,District B
2007-01-25T00:00:00.000,ILLEGALLY PARKED,District D
2007-01-25T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-25T00:00:00.000,ABANDONED VEHICLE,District E
2007-01-26T00:00:00.000,IMPOUNDED,District A
2007-01-26T00:00:00.000,STOLEN VEHICLE,District E
2007-01-26T00:00:00.000,ILLEGAL VEHICLE,District A
2007-01-26T00:00:00.000,ACCIDENT,District E
2007-01-26T00:00:00.000,STOLEN VEHICLE,District B
2007-01-26T00:00:00.000,IMPOUNDED,District E
2007-01-26T00:00:00.000,STOLEN VEHICLE,District A
2007-01-26T00:00:00.000,ILLEGAL VEHICLE,District E
2007-01-26T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-26T00:00:00.000,ILLEGAL VEHICLE,District B
2007-01-27T00:00:00.000,ABANDONED VEHICLE,District D
2007-01-27T00:00:00.000,ILLEGAL VEHICLE,District E
2007-01-27T00:00:00.000,ACCIDENT,District E
2007-01-27T00:00:00.000,ILLEGAL VEHICLE,District E
2007-01-27T00:00:00.000,IMPOUNDED,District D
2007-01-27T00:00:00.000,STOLEN VEHICLE,District A
2007-01-27T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-27T00:00:00.000,ACCIDENT,District D
2007-01-27T00:00:00.000,IMPOUNDED,District A
2007-01-27T00:00:00.000,ILLEGAL VEHICLE,District B
2007-01-28T00:00:00.000,ILLEGAL VEHICLE,District E
2007-01-28T00:00:00.000,IMPOUNDED,District A
2007-01-28T00:00:00.000,IMPOUNDED,District E
2007-01-28T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-28T00:00:00.000,ACCIDENT,District A
2007-01-28T00:00:00.000,IMPOUNDED,District C
2007-01-28T00:00:00.000,IMPOUNDED,District B
2007-01-28T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-28T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-29T00:00:00.000,ILLEGAL VEHICLE,District A
2007-01-29T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-29T00:00:00.000,ILLEGAL VEHICLE,District B
2007-01-29T00:00:00.000,ABANDONED VEHICLE,District A
2007-01-29T00:00:00.000,ILLEGALLY PARKED,District B
2007-01-29T00:00:00.000,ILLEGALLY PARKED,District D
2007-01-29T00:00:00.000,STOLEN VEHICLE,District B
2007-01-30T00:00:00.000,ILLEGALLY PARKED,District B
2007-01-30T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-30T00:00:00.000,ILLEGAL VEHICLE,District A
2007-01-30T00:00:00.000,STOLEN VEHICLE,District D
2007-01-30T00:00:00.000,IMPOUNDED,District E
2007-01-30T00:00:00.000,ILLEGAL VEHICLE,District A
2007-01-30T00:00:00.000,ABANDONED VEHICLE,District D
2007-01-30T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-30T00:00:00.000,ILLEGALLY PARKED,District D
2007-01-30T00:00:00.000,ILLEGAL VEHICLE,District E
2007-01-30T00:00:00.000,STOLEN VEHICLE,District E
2007-01-30T00:00:00.000,ILLEGALLY PARKED,District D
2007-01-30T00:00:00.000,ILLEGALLY PARKED,District D
2007-01-31T00:00:00.000,ILLEGAL VEHICLE,District E
2007-01-31T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-31T00:00:00.000,ILLEGAL VEHICLE,District A
2007-01-31T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-31T00:00:00.000,ILLEGAL VEHICLE,District B
2007-01-31T00:00:00.000,IMPOUNDED,District B
2007-01-31T00:00:00.000,ABANDONED VEHICLE,District D
2007-01-31T00:00:00.000,ABANDONED VEHICLE,District A
2007-01-31T00:00:00.000,ABANDONED VEHICLE,District E
2007-01-31T00:00:00.000,ILLEGAL VEHICLE,District B
2007-01-31T00:00:00.000,ILLEGALLY PARKED,District D
2007-01-31T00:00:00.000,ILLEGAL VEHICLE,District E
2007-02-01T00:00:00.000,ILLEGAL VEHICLE,District C
2007-02-01T00:00:00.000,ILLEGAL VEHICLE,District C
2007-02-01T00:00:00.000,ILLEGALLY PARKED,District D
2007-02-01T00:00:00.000,IMPOUNDED,District A
2007-02-01T00:00:00.000,ILLEGAL VEHICLE,District C
2007-02-02T00:00:00.000,ILLEGAL VEHICLE,District D
2007-02-02T00:00:00.000,ILLEGAL VEHICLE,District A
2007-02-02T00:00:00.000,ILLEGAL VEHICLE,District D
2007-02-02T00:00:00.000,STOLEN VEHICLE,District A
2007-02-02T00:00:00.000,ACCIDENT,District E
2007-02-02T00:00:00.000,IMPOUNDED,District C
2007-02-02T00:00:00.000,IMPOUNDED,District A
2007-02-02T00:00:00.000,IMPOUNDED,District A
2007-02-02T00:00:00.000,ABANDONED VEHICLE,District D
2007-02-03T00:00:00.000,STOLEN VEHICLE,District D
2007-02-03T00:00:00.000,IMPOUNDED,District D
2007-02-03T00:00:00.000,ILLEGAL VEHICLE,District E
2007-02-03T00:00:00.000,ILLEGAL VEHICLE,District B
2007-02-03T00:00:00.000,ILLEGAL VEHICLE,District D
2007-02-04T00:00:00.000,ACCIDENT,District C
2007-02-04T00:00:00.000,STOLEN VEHICLE,District B
2007-02-05T00:00:00.000,ILLEGAL VEHICLE,District C
2007-02-05T00:00:00.000,STOLEN VEHICLE,District B
2007-02-05T00:00:00.000,STOLEN VEHICLE,District C
2007-02-05T00:00:00.000,ILLEGAL VEHICLE,District C
2007-02-05T00:00:00.000,ABANDONED VEHICLE,District A
2007-02-06T00:00:00.000,ILLEGAL VEHICLE,District C
2007-02-06T00:00:00.000,IMPOUNDED,District C
2007-02-06T00:00:00.000,ILLEGAL VEHICLE,District D
2007-02-06T00:00:00.000,ILLEGAL VEHICLE,District B
2007-02-06T00:00:00.000,ILLEGAL VEHICLE,District E
2007-02-06T00:00:00.000,ILLEGALLY PARKED,District B
2007-02-06T00:00:00.000,ILLEGAL VEHICLE,District E
2007-02-07T00:00:00.000,IMPOUNDED,District C
2007-02-07T00:00:00.000,ILLEGAL VEHICLE,District A
2007-02-07T00:00:00.000,ACCIDENT,District C
2007-02-07T00:00:00.000,ABANDONED VEHICLE,District B
2007-02-07T00:00:00.000,ILLEGAL VEHICLE,District C
2007-02-07T00:00:00.000,ILLEGALLY PARKED,District D
2007-02-07T00:00:00.000,ILLEGAL VEHICLE,District E
2007-02-07T00:00:00.000,ABANDONED VEHICLE,District E
2007-02-07T00:00:00.000,ABANDONED VEHICLE,District C
2007-02-07T00:00:00.000,ABANDONED VEHICLE,District C
2007-02-07T00:00:00.000,ILLEGAL VEHICLE,District C
2007-02-07T00:00:00.000,IMPOUNDED,District D
2007-02-07T00:00:00.000,ILLEGAL VEHICLE,District C
2007-02-07T00:00:00.000,ILLEGAL VEHICLE,District D
2007-02-07T00:00:00.000,ILLEGALLY PARKED,District A
2007-02-08T00:00:00.000,ILLEGAL VEHICLE,District D
2007-02-08T00:00:00.000,STOLEN VEHICLE,District B
2007-02-08T00:00:00.000,ILLEGAL VEHICLE,District B
2007-02-08T00:00:00.000,ILLEGAL VEHICLE,District C
2007-02-08T00:00:00.000,ILLEGAL VEHICLE,District A
2007-02-08T00:00:00.000,ILLEGALLY PARKED,District B
2007-02-08T00:00:00.000,ILLEGAL VEHICLE,District B
2007-02-08T00:00:00.000,ILLEGAL VEHICLE,District E
2007-02-09T00:00:00.000,ILLEGAL VEHICLE,District B
2007-02-09T00:00:00.000,ILLEGAL VEHICLE,District D
2007-02-09T00:00:00.000,ABANDONED VEHICLE,District A
2007-02-09T00:00:00.000,ACCIDENT,District C
2007-02-09T00:00:00.000,ILLEGALLY PARKED,District B
2007-02-09T00:00:00.000,ILLEGAL VEHICLE,District A
2007-02-09T00:00:00.000,ILLEGAL VEHICLE,District D
2007-02-09T00:00:00.000,ILLEGALLY PARKED,District D
2007-02-09T00:00:00.000,ABANDONED VEHICLE,District B
2007-02-09T00:00:00.000,STOLEN VEHICLE,District D
2007-02-09T00:00:00.000,ILLEGAL VEHICLE,District D
2007-02-10T00:00:00.000,ILLEGAL VEHICLE,District D
2007-02-10T00:00:00.000,IMPOUNDED,District D
2007-02-10T00:00:00.000,ILLEGAL VEHICLE,District E
2007-02-10T00:00:00.000,ILLEGAL VEHICLE,District A
2007-02-10T00:00:00.000,ILLEGAL VEHICLE,District C
2007-02-11T00:00:00.000,ILLEGAL VEHICLE,District C
2007-02-11T00:00:00.000,IMPOUNDED,District B
2007-02-11T00:00:00.000,ILLEGAL VEHICLE,District C
2007-02-11T00:00:00.000,ILLEGAL VEHICLE,District A
2007-02-11T00:00:00.000,ILLEGAL VEHICLE,District D
2007-02-11T00:00:00.000,ILLEGAL VEHICLE,District C
2007-02-11T00:00:00.000,ILLEGAL VEHICLE,District C
2007-02-11T00:00:00.000,IMPOUNDED,District C
2007-02-12T00:00:00.000,ILLEGAL VEHICLE,District B
2007-02-12T00:00:00.000,ILLEGAL VEHICLE,District D
2007-02-12T00:00:00.000,ILLEGAL VEHICLE,District D
2007-02-12T00:00:00.000,STOLEN VEHICLE,District E
2007-02-12T00:00:00.000,ILLEGALLY PARKED,District D
2007-02-12T00:00:00.000,ABANDONED VEHICLE,District D
2007-02-12T00:00:00.000,ILLEGAL VEHICLE,District E
2007-02-13T00:00:00.000,STOLEN VEHICLE,District C
2007-02-13T00:00:00.000,ILLEGAL VEHICLE,District C
2007-02-13T00:00:00.000,ILLEGAL VEHICLE,District B
2007-02-13T00:00:00.000,ILLEGAL VEHICLE,District A
2007-02-13T00:00:00.000,IMPOUNDED,District E
2007-02-13T00:00:00.000,ACCIDENT,District D
2007-02-13T00:00:00.000,STOLEN VEHICLE,District D
2007-02-13T00:00:00.000,ABANDONED VEHICLE,District A
2007-02-13T00:00:00.000,ABANDONED VEHICLE,District A
2007-02-13T00:00:00.000,ILLEGALLY PARKED,District D
2007-02-13T00:00:00.000,ABANDONED VEHICLE,District B
2007-02-13T00:00:00.000,STOLEN VEHICLE,District E
2007-02-13T00:00:00.000,ABANDONED VEHICLE,District D
2007-02-13T00:00:00.000,ILLEGALLY PARKED,District B
2007-02-14T00:00:00.000,ILLEGALLY PARKED,District B
2007-02-14T00:00:00.000,ABANDONED VEHICLE,District A
2007-02-14T00:00:00.000,ILLEGAL VEHICLE,District A
2007-02-14T00:00:00.000,GONE ON ARRIVAL,District D
2007-02-14T00:00:00.000,ABANDONED VEHICLE,District E
2007-02-14T00:00:00.000,ABANDONED VEHICLE,District C
2007-02-14T00:00:00.000,ABANDONED VEHICLE,District C
2007-02-14T00:00:00.000,ABANDONED VEHICLE,District E
2007-02-14T00:00:00.000,ABANDONED VEHICLE,District E
2007-02-14T00:00:00.000,ABANDONED VEHICLE,District B
2007-02-14T00:00:00.000,ABANDONED VEHICLE,District B
2007-02-15T00:00:00.000,ILLEGAL VEHICLE,District E
2007-02-15T00:00:00.000,ILLEGAL VEHICLE,District B
2007-02-15T00:00:00.000,ILLEGAL VEHICLE,District C
2007-02-15T00:00:00.000,ILLEGALLY PARKED,District B
2007-02-15T00:00:00.000,ILLEGAL VEHICLE,District C
2007-02-15T00:00:00.000,ABANDONED VEHICLE,District E
2007-02-16T00:00:00.000,ABANDONED VEHICLE,District D
2007-02-16T00:00:00.000,ABANDONED VEHICLE,District C
2007-02-16T00:00:00.000,ILLEGAL VEHICLE,District C
2007-02-16T00:00:00.000,IMPOUNDED,District C
2007-02-16T00:00:00.000,ABANDONED VEHICLE,District A
2007-02-16T00:00:00.000,ABANDONED VEHICLE,District C
2007-02-16T00:00:00.000,ILLEGAL VEHICLE,District E
2007-02-16T00:00:00.000,ILLEGAL VEHICLE,District C
2007-02-16T00:00:00.000,ABANDONED VEHICLE,District B
2007-02-16T00:00:00.000,ACCIDENT,District C
2007-02-16T00:00:00.000,ILLEGAL VEHICLE,District B
2007-02-16T00:00:00.000,STOLEN VEHICLE,District E
2007-02-16T00:00:00.000,ILLEGALLY PARKED,District B
2007-02-16T00:00:00.000,ABANDONED VEHICLE,District E
2007-02-17T00:00:00.000,STOLEN VEHICLE,District D
2007-02-17T00:00:00.000,IMPOUNDED,District E
2007-02-17T00:00:00.000,ILLEGAL VEHICLE,District D
2007-02-17T00:00:00.000,ABANDONED VEHICLE,District D
2007-02-17T00:00:00.000,ILLEGAL VEHICLE,District D
2007-02-17T00:00:00.000,ILLEGALLY PARKED,District A
2007-02-17T00:00:00.000,IMPOUNDED,District E
2007-02-17T00:00:00.000,ILLEGAL VEHICLE,District B
2007-02-17T00:00:00.000,ILLEGAL VEHICLE,District E
2007-02-18T00:00:00.000,ILLEGAL VEHICLE,District C
2007-02-18T00:00:00.000,ILLEGAL VEHICLE,District C
2007-02-19T00:00:00.000,ABANDONED VEHICLE,District D
